timestamp,node_id,live_model_version,live_prediction,live_confidence,live_confirmed,live_confirmed_fault,shadow_model_version,shadow_prediction,shadow_confidence,shadow_confirmed,shadow_confirmed_fault,agreement
2026-09-13T11:14:25.762461+00:00,AWS_001,V3,normal,0.9777634143829346,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9713950157165527,False,,True
2026-09-13T11:14:26.200125+00:00,AWS_002,V5,normal,0.9988065958023071,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.8546494841575623,False,,True
2026-09-13T11:14:26.968074+00:00,AWS_003,V5,normal,0.999966025352478,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.7686723470687866,False,,True
2026-09-13T11:14:27.787670+00:00,AWS_001,V3,normal,0.9797175526618958,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9596019387245178,False,,True
2026-09-13T11:14:28.319924+00:00,AWS_002,V5,normal,0.9980499744415283,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.8964558243751526,False,,True
2026-09-13T11:14:28.968278+00:00,AWS_003,V5,normal,0.9999799728393555,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.5078704357147217,False,,True
2026-09-13T11:14:29.799583+00:00,AWS_001,V3,normal,0.9773259162902832,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9504721760749817,False,,True
2026-09-13T11:14:30.199835+00:00,AWS_002,V5,normal,0.9941207766532898,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.8739679455757141,False,,True
2026-09-13T11:14:30.955836+00:00,AWS_003,V5,normal,0.9996128678321838,False,,V6_3_MULTISTATION_RECOVERY_AWARE,drift,0.5703047513961792,False,,False
2026-09-13T11:14:33.878263+00:00,AWS_001,V3,corruption,0.9976158142089844,True,corruption,V6_3_MULTISTATION_RECOVERY_AWARE,corruption,0.9550768136978149,True,corruption,True
2026-09-13T11:14:32.219628+00:00,AWS_002,V5,normal,0.9928398132324219,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.8315149545669556,False,,True
2026-09-13T11:14:32.977195+00:00,AWS_003,V5,normal,0.9996317625045776,False,,V6_3_MULTISTATION_RECOVERY_AWARE,drift,0.6791208386421204,False,,False
2026-09-13T11:14:35.865340+00:00,AWS_001,V3,corruption,0.9981328845024109,True,corruption,V6_3_MULTISTATION_RECOVERY_AWARE,corruption,0.996188223361969,True,corruption,True
2026-09-13T11:14:34.240435+00:00,AWS_002,V5,normal,0.99842369556427,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.7238947153091431,False,,True
2026-09-13T11:14:34.984525+00:00,AWS_003,V5,normal,0.9999487400054932,False,,V6_3_MULTISTATION_RECOVERY_AWARE,drift,0.5982628464698792,False,,False
2026-09-13T11:14:37.872858+00:00,AWS_001,V3,corruption,0.9989408850669861,True,corruption,V6_3_MULTISTATION_RECOVERY_AWARE,corruption,0.9985117316246033,True,corruption,True
2026-09-13T11:14:36.248583+00:00,AWS_002,V5,normal,0.9995520710945129,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.8998540639877319,False,,True
2026-09-13T11:14:37.028340+00:00,AWS_003,V5,normal,0.9998825788497925,False,,V6_3_MULTISTATION_RECOVERY_AWARE,drift,0.6742476224899292,False,,False
2026-09-13T11:14:39.892945+00:00,AWS_001,V3,corruption,0.9641764760017395,True,corruption,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9999998807907104,True,corruption,False
2026-09-13T11:14:38.291647+00:00,AWS_002,V5,normal,0.999234676361084,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9154887795448303,False,,True
2026-09-13T11:14:39.034754+00:00,AWS_003,V5,normal,0.9999129772186279,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.4718574285507202,False,,True
2026-09-13T11:14:41.961505+00:00,AWS_001,V3,corruption,0.970670223236084,True,corruption,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9999998807907104,True,corruption,False
2026-09-13T11:14:42.348493+00:00,AWS_002,V5,normal,0.9980900883674622,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.8984145522117615,False,,True
2026-09-13T11:14:41.053862+00:00,AWS_003,V5,normal,0.9997456669807434,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.6477699279785156,False,,True
2026-09-13T11:14:43.998898+00:00,AWS_001,V3,,,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,1.0,False,,
2026-09-13T11:14:44.362624+00:00,AWS_002,V5,normal,0.999448835849762,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9224684238433838,False,,True
2026-09-13T11:14:43.319954+00:00,AWS_003,V5,normal,0.9996585845947266,False,,V6_3_MULTISTATION_RECOVERY_AWARE,drift,0.6411608457565308,False,,False
2026-09-13T11:14:46.026541+00:00,AWS_001,V3,,,False,,V6_3_MULTISTATION_RECOVERY_AWARE,normal,0.9999998807907104,False,,
