timestamp,node_id,ds18b20_temperature_c,dht22_temperature_c,dht22_humidity_pct,bmp280_temperature_c,bmp280_pressure_hpa,condition
2026-09-10T20:05:58.484349,AWS_002,-127.0,27.1,95.8,27.25,947.05,normal
2026-09-10T20:06:00.501991,AWS_002,26.37,27.1,95.8,27.25,947.06,normal
2026-09-10T20:06:02.519406,AWS_002,26.37,27.2,95.8,27.25,947.07,normal
2026-09-10T20:06:04.531712,AWS_002,26.37,27.2,95.8,27.25,947.07,normal
2026-09-10T20:06:06.547494,AWS_002,26.37,27.2,95.7,27.24,947.08,normal
2026-09-10T20:06:08.573652,AWS_002,26.44,27.2,95.7,27.24,947.08,normal
2026-09-10T20:06:10.587232,AWS_002,26.37,27.2,95.7,27.25,947.09,normal
2026-09-10T20:06:12.601810,AWS_002,26.37,27.2,95.7,27.25,947.09,normal
2026-09-10T20:06:14.624408,AWS_002,26.37,27.3,95.7,27.25,947.09,normal
2026-09-10T20:06:16.644989,AWS_002,26.44,27.3,95.6,27.26,947.09,normal
2026-09-10T20:06:18.664389,AWS_002,26.37,27.3,95.6,27.26,947.09,normal
2026-09-10T20:06:20.748455,AWS_002,26.37,27.3,95.6,27.27,947.08,normal
2026-09-10T20:06:22.706444,AWS_002,26.37,27.3,95.5,27.28,947.08,normal
2026-09-10T20:06:24.719723,AWS_002,26.37,27.3,95.5,27.29,947.08,normal
2026-09-10T20:06:26.738584,AWS_002,26.37,27.3,95.5,27.3,947.08,normal
2026-09-10T20:06:28.755597,AWS_002,26.37,27.3,95.4,27.3,947.08,normal
2026-09-10T20:06:30.773275,AWS_002,26.37,27.3,95.4,27.31,947.09,normal
2026-09-10T20:06:32.792060,AWS_002,26.37,27.4,95.4,27.32,947.08,normal
2026-09-10T20:06:34.801638,AWS_002,26.37,27.4,95.3,27.32,947.08,normal
2026-09-10T20:06:36.827810,AWS_002,26.37,27.4,95.3,27.33,947.08,normal
2026-09-10T20:06:38.845856,AWS_002,26.44,27.4,95.2,27.33,947.08,normal
2026-09-10T20:06:40.882766,AWS_002,26.37,27.4,95.2,27.33,947.08,normal
2026-09-10T20:06:42.878837,AWS_002,26.37,27.4,95.2,27.34,947.09,normal
2026-09-10T20:06:44.899323,AWS_002,26.37,27.4,95.2,27.34,947.08,normal
2026-09-10T20:06:46.915906,AWS_002,26.37,27.4,95.2,27.35,947.08,normal
2026-09-10T20:06:48.936754,AWS_002,26.37,27.4,95.1,27.35,947.08,normal
2026-09-10T20:06:50.949027,AWS_002,26.37,27.4,95.1,27.35,947.09,normal
2026-09-10T20:06:52.969957,AWS_002,26.37,27.4,95.0,27.34,947.08,normal
2026-09-10T20:06:54.987410,AWS_002,26.44,27.4,95.0,27.34,947.08,normal
2026-09-10T20:06:57.006126,AWS_002,26.37,27.4,95.0,27.34,947.08,normal
2026-09-10T20:06:59.026759,AWS_002,26.37,27.4,95.0,27.34,947.08,normal
2026-09-10T20:07:01.041267,AWS_002,26.37,27.4,95.0,27.35,947.08,normal
2026-09-10T20:07:03.072890,AWS_002,26.37,27.4,94.9,27.35,947.08,normal
2026-09-10T20:07:05.077901,AWS_002,26.37,27.4,94.9,27.35,947.08,normal
2026-09-10T20:07:07.086827,AWS_002,26.37,27.4,94.9,27.35,947.08,normal
2026-09-10T20:07:09.109120,AWS_002,26.37,27.5,94.9,27.35,947.08,normal
